Geo,Year,SFDU,MFDU,GQDU
2089.02,2019,54,1,1
2089.03,2019,118,1,1
2089.04,2019,184,93,1
2090,2019,552,78,1
2091,2019,55,326,1
2092,2019,10,87,1
2093,2019,29,241,1
2094,2019,2,65,1
2095,2019,5,243,1
2096.01,2019,97,572,1
2096.02,2019,31,169,1
2097,2019,62,115,1
2098,2019,207,320,1
2099.01,2019,108,206,1
2099.02,2019,146,276,1
2100,2019,404,780,1
2101,2019,99,175,1
2102,2019,223,396,1
2103,2019,6,8,1
2104,2019,70,124,1
2105,2019,108,192,1
2106,2019,1093,1210,1
2107,2019,13,52,1
2108,2019,140,273,1
2109,2019,52,92,1
2110,2019,32,63,1
2111.01,2019,41,80,1
2111.02,2019,150,16,1
2112.01,2019,123,7,1
2112.02,2019,38,1,1
2112.03,2019,25,1,1
2112.04,2019,49,1,1
2112.05,2019,6,0,1
2112.06,2019,31,1,1
2113,2019,39,218,1
2114.01,2019,14,29,1
2114.02,2019,54,351,1
2114.03,2019,44,253,1
2115.01,2019,54,227,1
2115.02,2019,84,421,1
2116.01,2019,100,194,1
2116.02,2019,18,36,1
2117.01,2019,74,146,1
2117.02,2019,23,67,1
2118,2019,64,169,1
2119,2019,66,175,1
2120,2019,52,132,1
2121,2019,26,66,1
2122,2019,165,187,1
2123,2019,15,18,1
2124,2019,3,23,1
2125,2019,264,1651,1
2126,2019,114,1302,1
2127,2019,93,986,1
2128,2019,381,2147,1
2129,2019,105,658,1
2130,2019,144,971,1
2131,2019,76,1205,1
2132,2019,177,1934,1
2133,2019,152,1428,1
2134,2019,103,927,1
2135,2019,138,1795,1
2136,2019,176,1232,1
2137,2019,230,1216,1
2138,2019,504,1602,1
2139,2019,224,955,1
2140,2019,343,1156,1
2141,2019,115,625,1
2142,2019,671,1849,1
2143,2019,30,971,1
2144,2019,282,2102,1
2145,2019,358,1669,1
2146,2019,301,1566,1
2147,2019,213,1716,1
2148,2019,150,801,1
2149,2019,16,258,1
2150,2019,557,2016,1
2151,2019,3,90,1
2152,2019,10,310,1
2153,2019,6,186,1
2154,2019,10,332,1
2155,2019,19,456,1
2156,2019,7,384,1
2157,2019,6,311,1
2158,2019,18,556,1
2159,2019,9,146,1
1611,2045,276,583,1
1612,2045,309,652,1
1613,2045,131,268,1
1614,2045,234,196,1
1615,2045,24,366,1
1616,2045,8,170,1
1617,2045,24,351,1
1618,2045,608,4060,1
1619,2045,16,227,1
1620,2045,10,150,1
1621,2045,6,308,1
1622,2045,17,250,1
1623,2045,9,486,1
1624,2045,5,269,1
1625,2045,9,531,1
1626,2045,14,523,1
1627,2045,31,611,1
1628.01,2045,30,62,1
1628.02,2045,18,36,1
1628.03,2045,81,165,1
1629,2045,96,200,1
1630.01,2045,43,364,1
1630.02,2045,79,668,1
1631,2045,66,507,1
1632.01,2045,69,107,1
1632.02,2045,161,252,1
1632.03,2045,292,455,1
1632.04,2045,89,140,1
1633,2045,15,31,1
1634,2045,269,424,1
1635,2045,271,966,1
1636,2045,121,1027,1
1637,2045,1319,153,1
1638.01,2045,1032,116,1
1638.02,2045,458,220,1
1639.01,2045,86,116,1
1639.02,2045,388,545,1
1640,2045,323,454,1
1641,2045,305,438,1
1642,2045,1149,407,1
1643,2045,601,1336,1
1644,2045,71,610,1
1645,2045,640,223,1
1646,2045,505,669,1
1647.01,2045,622,218,1
1647.02,2045,687,248,1
1648,2045,81,340,1
1649,2045,459,386,1
1650,2045,460,611,1
1651,2045,43,318,1
1652.01,2045,445,316,1
1652.02,2045,897,614,1
1653,2045,102,875,1
1654.01,2045,29,202,1
1654.02,2045,57,416,1
1655,2045,628,1657,1
1656,2045,971,1334,1
1657,2045,534,713,1
1658,2045,124,312,1
1659,2045,31,1176,1
1660,2045,190,204,1
1661,2045,26,961,1
1662.01,2045,85,172,1
1662.02,2045,170,341,1
1662.03,2045,155,315,1
1663,2045,358,1124,1
1664,2045,135,704,1
1665.01,2045,882,1798,1
1665.02,2045,115,524,1
1666,2045,101,860,1
1667,2045,77,666,1
1668,2045,80,696,1
1669,2045,42,804,1
1670,2045,44,839,1
1671,2045,240,1346,1
1672.01,2045,55,279,1
1672.02,2045,126,630,1
1673.01,2045,92,32,1
1673.02,2045,212,77,1
1673.03,2045,332,111,1
1674,2045,153,1482,1
1675.01,2045,453,151,1
1675.02,2045,1002,340,1
1676.01,2045,309,103,1
1676.02,2045,343,115,1
1676.03,2045,188,62,1
1677,2045,0,0,1
1678,2045,57,97,1
1679,2045,58,99,1
1680,2045,4,7,1
1681,2045,52,80,1
1682.01,2045,22,37,1
1682.02,2045,16,28,1
1683,2045,74,127,1
1684,2045,59,100,1
1685,2045,32,55,1
1686,2045,227,389,1
1687,2045,11,545,1
1688.01,2045,22,38,1
1688.02,2045,47,81,1
1688.03,2045,23,39,1
1689.01,2045,16,28,1
1689.02,2045,27,45,1
1689.03,2045,25,43,1
1690.01,2045,27,47,1
1690.02,2045,24,42,1
1691,2045,445,856,1
1692,2045,137,288,1
1693,2045,158,340,1
1694,2045,382,779,1
1695,2045,898,1891,1
1696,2045,919,16,1
1697,2045,1504,1630,1
1698,2045,30,62,1
1699,2045,602,2518,1
1700,2045,29,663,1
1701,2045,23,531,1
1702,2045,16,197,1
1703,2045,157,53,1
1704.01,2045,96,32,1
1704.02,2045,77,26,1
1704.03,2045,1267,414,1
1705,2045,654,625,1
1706,2045,672,1458,1
1707,2045,152,1713,1
1708,2045,15,479,1
1709,2045,20,310,1
1710,2045,19,312,1
1711,2045,13,351,1
1712,2045,28,456,1
1713,2045,27,443,1
1714,2045,30,496,1
1715,2045,20,667,1
1716,2045,7,167,1
1717,2045,66,1283,1
1718,2045,18,426,1
1719,2045,37,904,1
1720,2045,134,182,1
1721,2045,237,323,1
1722,2045,122,175,1
1723,2045,199,273,1
1724,2045,300,703,1
1725.01,2045,178,247,1
1725.02,2045,104,143,1
1726.01,2045,160,251,1
1726.02,2045,41,72,1
1727,2045,276,1117,1
1728.01,2045,605,454,1
1728.02,2045,1618,1311,1
1729.01,2045,182,756,1
1729.02,2045,156,638,1
1730.01,2045,429,322,1
1730.02,2045,341,277,1
1731.01,2045,303,257,1
1731.02,2045,305,259,1
1731.03,2045,779,653,1
1732,2045,2144,1877,1
1733,2045,638,1320,1
1734,2045,1013,1497,1
1735,2045,55,1154,1
1736,2045,350,1174,1
1737,2045,363,591,1
1738,2045,230,351,1
1739.01,2045,217,183,1
1739.02,2045,111,93,1
1739.03,2045,1236,1043,1
1740,2045,849,877,1
1741.01,2045,408,348,1
1741.02,2045,968,820,1
1741.03,2045,159,136,1
1742.01,2045,468,702,1
1742.02,2045,584,842,1
1743,2045,157,229,1
1744.01,2045,31,216,1
1744.02,2045,246,1660,1
1745,2045,59,253,1
1746,2045,508,349,1
1747,2045,812,678,1
1748,2045,701,676,1
1749,2045,700,236,1
1750.01,2045,274,85,1
1750.02,2045,892,292,1
1750.03,2045,259,80,1
1751,2045,1152,313,1
1752.01,2045,1370,904,1
1752.02,2045,819,333,1
1753.01,2045,397,130,1
1753.02,2045,685,231,1
1753.03,2045,186,61,1
1754.01,2045,71,24,1
1754.02,2045,159,53,1
1754.03,2045,396,132,1
1755,2045,1743,585,1
1756,2045,383,129,1
1757,2045,79,731,1
1758,2045,65,629,1
1759,2045,53,758,1
1760,2045,93,883,1
1761,2045,548,802,1
1762,2045,64,935,1
1763,2045,36,742,1
1764,2045,35,739,1
1765,2045,13,571,1
1766,2045,23,819,1
1767,2045,749,1676,1
1768,2045,1138,1250,1
1769,2045,527,1692,1
1770.01,2045,0,488,1
1770.02,2045,0,85,1
1771,2045,227,657,1
1772,2045,302,1161,1
1773,2045,0,66,1
1774,2045,1,338,1
1775,2045,21,523,1
1776,2045,5,67,1
1777,2045,9,361,1
1778,2045,165,918,1
1779,2045,254,1414,1
1780,2045,13,580,1
1781,2045,5,222,1
1782,2045,8,382,1
1783,2045,28,546,1
1784,2045,254,354,1
1785,2045,149,223,1
1786,2045,230,343,1
1787,2045,173,259,1
1788,2045,32,599,1
1789,2045,127,478,1
1790,2045,512,914,1
1791,2045,168,408,1
1792,2045,61,326,1
1793.01,2045,57,354,1
1793.02,2045,24,146,1
1794,2045,365,10,1
1795,2045,285,422,1
1796.01,2045,318,487,1
1796.02,2045,80,122,1
1796.03,2045,437,287,1
1797.01,2045,213,328,1
1797.02,2045,11,17,1
1797.03,2045,146,226,1
1798.01,2045,59,366,1
1798.02,2045,63,394,1
1798.03,2045,82,507,1
1798.04,2045,52,300,1
1799,2045,74,626,1
1800.01,2045,107,161,1
1800.02,2045,266,411,1
1800.03,2045,63,94,1
1800.04,2045,211,319,1
1800.05,2045,378,569,1
1800.06,2045,95,144,1
1801,2045,12,67,1
1802,2045,599,692,1
1803,2045,196,226,1
1804,2045,909,1057,1
1805,2045,281,1148,1
1806,2045,107,410,1
1807,2045,382,875,1
1808,2045,603,705,1
1809,2045,168,195,1
1810,2045,1056,966,1
1811,2045,254,551,1
1812,2045,277,254,1
1813,2045,75,68,1
1814.01,2045,311,77,1
1814.02,2045,207,82,1
1815,2045,196,220,1
1816,2045,120,807,1
1817.01,2045,2643,651,1
1817.02,2045,144,35,1
1817.03,2045,338,83,1
1818,2045,137,245,1
1819,2045,137,247,1
1820,2045,177,457,1
1821,2045,159,957,1
1822,2045,87,556,1
1823,2045,166,1272,1
1824,2045,149,753,1
1825,2045,33,319,1
1826,2045,143,555,1
1827,2045,46,733,1
1828,2045,22,591,1
1829,2045,7,170,1
1830,2045,54,468,1
1831,2045,435,588,1
1832.01,2045,201,272,1
1832.02,2045,188,252,1
1832.03,2045,923,1248,1
1833.01,2045,10,274,1
1833.02,2045,747,996,1
1833.03,2045,485,1291,1
1834,2045,14,347,1
1835,2045,6,128,1
1836,2045,32,110,1
1837,2045,196,36,1
1838.01,2045,955,237,1
1838.02,2045,44,8,1
1839,2045,254,45,1
1840,2045,700,127,1
1841.01,2045,212,37,1
1841.02,2045,1426,254,1
1841.03,2045,140,25,1
1841.04,2045,124,22,1
1842.01,2045,153,28,1
1842.02,2045,54,10,1
1843.01,2045,88,16,1
1843.02,2045,728,133,1
1844,2045,551,100,1
1845.01,2045,535,121,1
1845.02,2045,2102,482,1
1845.03,2045,336,62,1
1846.01,2045,904,206,1
1846.02,2045,72,13,1
1847.01,2045,877,618,1
1847.02,2045,403,284,1
1848.01,2045,237,321,1
1848.02,2045,752,800,1
1849.01,2045,1155,1564,1
1849.02,2045,51,48,1
1850,2045,63,86,1
1851.01,2045,46,313,1
1851.02,2045,332,858,1
1852.01,2045,9,62,1
1852.02,2045,20,82,1
1853.01,2045,100,923,1
1853.02,2045,33,101,1
1854.01,2045,100,700,1
1854.02,2045,13,98,1
1855,2045,535,98,1
1856,2045,221,397,1
1857,2045,364,639,1
1858,2045,2198,1041,1
1859,2045,193,44,1
1860,2045,158,77,1
1861,2045,234,664,1
1862,2045,160,453,1
1863,2045,310,1072,1
1864,2045,441,378,1
1865.01,2045,641,531,1
1865.02,2045,760,602,1
1865.03,2045,68,58,1
1865.04,2045,719,623,1
1866.01,2045,255,129,1
1866.02,2045,159,80,1
1866.03,2045,213,175,1
1867.01,2045,1063,514,1
1867.02,2045,1098,558,1
1868.01,2045,1014,185,1
1868.02,2045,252,49,1
1868.03,2045,183,33,1
1869.01,2045,771,664,1
1869.02,2045,139,102,1
1870,2045,254,224,1
1871,2045,49,427,1
1872,2045,177,625,1
1873,2045,36,124,1
1874,2045,239,413,1
1875,2045,20,73,1
1876,2045,40,256,1
1877,2045,10,102,1
1878,2045,14,96,1
1879,2045,221,612,1
1880,2045,83,989,1
1881,2045,260,714,1
1882,2045,35,626,1
1883,2045,254,703,1
1884,2045,48,756,1
