Geo,Year,TotEmp,RetEmp,SvcEmp
1685,2019,382.6246664,12.4044824,209.76971
1686,2019,2363.08567,53.8042654,1357.656404
1687,2019,67.55573424,0.93357128,28.0840712
1688.01,2019,582.710459,62.81146895,203.9621167
1688.02,2019,3486.455061,58.39315452,2547.412025
1688.03,2019,1703.514269,28.51140496,1244.969899
1689.01,2019,495.0597056,55.28902285,171.003866
1689.02,2019,1956.296956,32.74435465,1429.700852
1689.03,2019,1874.692418,31.37638214,1370.071077
1690.01,2019,2011.713998,33.68384915,1469.998278
1690.02,2019,1600.292682,26.30979776,1171.245341
1691,2019,1020.44198,23.51014312,702.8396078
1692,2019,1871.022055,0.885580333,1475.71286
1693,2019,1987.644726,1.099371981,1566.686807
1694,2019,3961.84865,57.84495457,2852.359003
1695,2019,545.337885,164.9386809,286.7518219
1696,2019,2163.848083,46.85973714,1213.77813
1697,2019,1395.825923,228.9767467,427.1383142
1698,2019,132.6821296,4.285060842,70.55188
1699,2019,337.9308314,9.534395121,160.0235702
1700,2019,164.4062471,0.208263343,85.79530968
1701,2019,103.600073,0.308004171,23.89080321
1702,2019,50.1791896,0,10.75268349
1703,2019,950.2662817,15.49451497,616.1110604
1704.01,2019,729.5583299,5.441868806,499.2011582
1704.02,2019,580.3106593,4.371524596,396.904
1704.03,2019,375.7904774,2.766577362,255.9019435
1705,2019,160.5144484,2.452656647,118.3181965
1706,2019,1509.341645,250.2158772,631.4581552
1707,2019,171.0147191,7.771704019,83.17726316
1708,2019,105.6233964,8.496014264,52.71925542
1709,2019,106.4303299,2.518203032,46.70866332
1710,2019,105.082446,2.476184037,46.10972633
1711,2019,51.157851,0.004519542,30.63052636
1712,2019,208.1170199,23.95482152,80.25456501
1713,2019,163.4026173,0.981713102,74.17410854
1714,2019,185.0014455,1.117407658,84.10508572
1715,2019,201.6868745,31.29819726,91.53066987
1716,2019,40.14045387,5.724688479,30.01106738
1717,2019,188.6848775,13.97255806,105.0158813
1718,2019,127.3463089,18.33709428,95.6054444
1719,2019,877.4815964,91.8060272,441.8313131
1720,2019,29.00871276,0.076549938,16.99107189
1721,2019,44.19343386,0.007833006,28.63602645
1722,2019,84.51515749,0.766585069,59.72783387
1723,2019,2512.170495,2.415396007,853.2781318
1724,2019,3131.904712,2.573955681,1262.29802
1725.01,2019,265.677057,0.3545114,89.9190005
1725.02,2019,425.566924,0.334881117,141.9895938
1726.01,2019,346.2222206,0.928148624,132.88429
1726.02,2019,294.950247,0.856836006,120.2538184
1727,2019,817.5845396,7.947844607,527.6257111
1728.01,2019,1676.014533,50.25397772,988.6198831
1728.02,2019,1824.766677,53.40859972,1080.018577
1729.01,2019,564.788039,5.489702521,364.4604199
1729.02,2019,448.5474645,4.359851797,289.4498218
1730.01,2019,1312.228986,36.68405173,839.7267935
1730.02,2019,2012.585045,58.87329302,1192.090821
1731.01,2019,1213.097648,238.4507597,902.4806477
1731.02,2019,1204.132088,237.4887301,895.6573695
1731.03,2019,587.1749757,115.6803138,436.7416076
1732,2019,5747.450479,144.9499819,2985.047018
1733,2019,203.1894367,12.37839358,161.001355
1734,2019,958.1514924,559.77373,184.0267214
1735,2019,135.3066015,25.65233654,67.33260281
1736,2019,785.5701849,149.8819949,237.486984
1737,2019,3164.147686,173.921693,789.6827448
1738,2019,1801.248789,47.51451354,1006.351424
1739.01,2019,1312.869164,87.8885234,763.6527501
1739.02,2019,6483.073799,201.0162174,4417.907615
1739.03,2019,5560.982443,176.6745596,3753.386415
1740,2019,4935.700074,35.35339757,2786.414021
1741.01,2019,1474.003195,92.51620939,833.5364075
1741.02,2019,675.1557273,43.29922378,382.7979586
1741.03,2019,1193.236179,75.96207915,672.2953934
1742.01,2019,2050.802219,38.29177768,474.1330507
1742.02,2019,1428.16284,26.83800518,321.9735944
1743,2019,3286.156072,61.76971157,740.5330558
1744.01,2019,347.6874874,2.600453023,30.40288467
1744.02,2019,96.94575788,0.637276962,7.408344686
1745,2019,752.8643375,5.050608407,60.8592821
1746,2019,2223.481094,94.00454438,984.2768506
1747,2019,3053.944248,127.4722793,1388.672624
1748,2019,429.5806865,29.73250898,108.3821972
1749,2019,876.6075445,6.431313688,600.2559442
1750.01,2019,3958.915719,181.7947535,2495.255426
1750.02,2019,781.4020973,35.64845792,488.5969476
1750.03,2019,1537.611266,70.53180281,967.2794247
1751,2019,109.0802082,3.476802877,62.93753216
